CPU/Processor,Ratings,Price,Model No,Link,Brand,Desktop_Type,Processor_Series,Processor_Model,Socket,Cores,Operating_Frequency,Threads,Max Turbo Frequency,Cpu/Processor,Processor_Type,no_of_tread
,(161),£98.39 –,Model #: BX8071512100F,https://www.newegg.com/global/uk-en/intel-core-i3-12100f-core-i3-12th-gen/p/N82E16819118357,Intel,,Core i3 12th Gen,Core i3-12100F,LGA 1700,Quad-Core,3.3 GHz,,4.3 GHz,Intel Core i3-12100F - Core i3 12th Gen Alder Lake Quad-Core 3.3 GHz LGA 1700 58W Desktop Processor - BX8071512100F,Desktop,8-Threads
,(641),£511.19 –,Model #: 100-100000514WOF,https://www.newegg.com/global/uk-en/amd-ryzen-9-7950x-ryzen-9-7000-series/p/N82E16819113771,AMD,,Ryzen 9 7000 Series,Ryzen 9 7950X,Socket AM5,16-Core,4.5 GHz,,Up to 5.7 GHz,AMD Ryzen 9 7950X - 16-Core 4.5 GHz - Socket AM5 - 170W Desktop Processor (100-100000514WOF),Desktop,32-Threads
,(334),£181.19 –,Model #: 100-100000926WOF,https://www.newegg.com/global/uk-en/amd-ryzen-7-5700x-ryzen-7-5000-series/p/N82E16819113735,AMD,,Ryzen 7 5000 Series,Ryzen 7 5700X,Socket AM4,8-Core,3.4 GHz,,4.6 GHz,AMD Ryzen 7 5700X - Ryzen 7 5000 Series 8-Core 3.4 GHz Socket AM4 65W None Integrated Graphics Desktop Processor - 100-100000926WOF,Desktop,16-Threads
,(41),£345.59 –,Model #: BX8071512900KF,https://www.newegg.com/global/uk-en/intel-core-i9-12900kf-core-i9-12th-gen/p/N82E16819118341,Intel,,Core i9 12th Gen,Core i9-12900KF,LGA 1700,16-Core (8P+8E),P-core Base Frequency: 3.2 GHzE-core Base Frequency: 2.4 GHz,,Intel Turbo Boost Max Technology 3.0 Frequency: Up to 5.2 GHzSingle P-core Turbo Frequency: Up to 5.1 GHzSingle E-core Turbo Frequency: Up to 3.9 GHz,Intel Core i9-12900KF - Core i9 12th Gen Alder Lake 16-Core (8P+8E) 3.2 GHz LGA 1700 125W Desktop Processor - BX8071512900KF,Desktop,24-Threads
,(880),£346.79 –,Model #: BX8071513700KF,https://www.newegg.com/global/uk-en/intel-core-i7-13700kf-core-i7-13th-gen/p/N82E16819118415,Intel,,Core i7 13th Gen,Core i7-13700KF,LGA 1700,16-Core (8P+8E),P-core Base Frequency: 3.4 GHzE-core Base Frequency: 2.5 GHz,,,Intel Core i7-13700KF - Core i7 13th Gen Raptor Lake 16-Core (8P+8E) P-core Base Frequency: 3.4 GHz E-core Base Frequency: 2.5 GHz LGA 1700 125W None Integrated Graphics Desktop Processor - BX80715137,Desktop,24-Threads
,(18),£207.59 –,Model #: BX8071514400F,https://www.newegg.com/global/uk-en/intel-core-i5-14400f-core-i5-14th-gen/p/N82E16819118489,Intel,,Picture-perfect video chatting,Juggling programs with ease,LGA 1700,10-Core (6P+4E),Performance-core Base Frequency: 2.5 GHzEfficient-core Base Frequency: 1.8 GHz,,Max Turbo Frequency: 4.7 GHzPerformance-core Max Turbo Frequency: 4.7 GHzEfficient-core Max Turbo Frequency: 3.5 GHz,Intel Core i5-14400F - Core i5 14th Gen Raptor Lake 10-Core (6P+4E) LGA 1700 65W None Integrated Graphics Processor - BX8071514400F,Streaming your favorite content,16-Threads
,(23),£223.19 –,Model #: 100-100001503WOF,https://www.newegg.com/global/uk-en/amd-ryzen-7-5700x3d-ryzen-7-5000-series/p/N82E16819113812,AMD,,Ryzen 7 5000 Series,Ryzen 7 5700X3D,Socket AM4,8-Core,3.0 GHz,,4.1 GHz,AMD Ryzen 7 5700X3D - Ryzen 7 5000 Series 8-Core 3.0 GHz Socket AM4 105W None Integrated Graphics Processor - 100-100001503WOF,Desktop,16-Threads
,(14),£316.79 –,Model #: BX8071514600K,https://www.newegg.com/global/uk-en/intel-core-i5-14600k-core-i5-14th-gen/p/N82E16819118470,Intel,,Efficient-core (E-core),Performance Hybrid Architecture1,LGA 1700,14-Core (6P+8E),Performance-core Base Frequency: 3.5 GHzEfficient-core Base Frequency: 2.6 GHz,,P-core Max Turbo Frequency: Up to 5.3 GHzE-core Max Turbo Frequency: Up to 4.0 GHz,Intel Core i5-14600K - Core i5 14th Gen 14-Core (6P+8E) LGA 1700 125W Intel UHD Graphics 770 Processor - Boxed - BX8071514600K,Performance-core (P-core),20-Threads
,(355),£374.39 –,Model #: BX8071512900K,https://www.newegg.com/global/uk-en/intel-core-i9-12900k-core-i9-12th-gen/p/N82E16819118339,Intel,,Core i9 12th Gen,Core i9-12900K,LGA 1700,16-Core (8P+8E),P-core Base Frequency: 3.2 GHzE-core Base Frequency: 2.4 GHz,,Intel Turbo Boost Max Technology 3.0 Frequency: Up to 5.2 GHzSingle P-core Turbo Frequency: Up to 5.1 GHzSingle E-core Turbo Frequency: Up to 3.9 GHz,Intel Core i9-12900K - Core i9 12th Gen Alder Lake 16-Core (8P+8E) 3.2 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071512900K,Desktop,24-Threads
,(324),£179.99 –,Model #: BX8071512600K,https://www.newegg.com/global/uk-en/intel-core-i5-12600k-core-i5-12th-gen/p/N82E16819118347,Intel,,Core i5 12th Gen,Core i5-12600K,LGA 1700,10-Core (6P+4E),P-core Base Frequency: 3.7 GHzE-core Base Frequency: 2.8 GHz,,Single P-core Turbo Frequency: Up to 4.9 GHzSingle E-core Turbo Frequency: Up to 3.6 GHz,Intel Core i5-12600K - Core i5 12th Gen Alder Lake 10-Core (6P+4E) 3.7 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071512600K,Desktop,16-Threads
,(21),£287.99 –,Model #: 100-100000592BOX,https://www.newegg.com/global/uk-en/amd-ryzen-7-7700/p/N82E16819113786,AMD,,Ryzen 7 7000 Series,Ryzen 7 7700,Socket AM5,8-Core,3.8 GHz,,5.3GHz,AMD Ryzen 7 7700 - Ryzen 7 7000 Series 8-Core 3.8 GHz Socket AM5 65W AMD Radeon Graphics Processor - 100-100000592BOX,Desktop,16-Threads
,(303),£179.99 –,Model #: 100-100000263BOX,https://www.newegg.com/global/uk-en/amd-ryzen-7-5700g-ryzen-7-5000-g-series/p/N82E16819113682,AMD,,Ryzen 7 5000 G-Series,Ryzen 7 5700G,Socket AM4,8-Core,3.8 GHz,,4.6 GHz,AMD Ryzen 7 5700G - Ryzen 7 5000 G-Series Cezanne (Zen 3) 8-Core 3.8 GHz Socket AM4 65W AMD Radeon Graphics Desktop Processor - 100-100000263BOX,Desktop,16-Threads
,(3),"£2,847.59 –",Model #: 100-100000445WOF,https://www.newegg.com/global/uk-en/amd-ryzen-threadripper-pro-5975wx/p/N82E16819113764,,,Ryzen Threadripper PRO,Ryzen Threadripper PRO 5975WX,Socket sWRX8,32-Core,3.6 GHz,,4.5 GHz,AMD Ryzen Threadripper PRO 5975WX - Ryzen Threadripper PRO Chagall PRO (Zen 3) 32-Core 3.6 GHz Socket sWRX8 280W None Integrated Graphics Desktop Processor - 100-100000445WOF,Desktop,64-Threads
,(2),£303.59 –,Model #: BX8071514600KF,https://www.newegg.com/global/uk-en/intel-core-i5-14600kf-core-i5-14th-gen/p/N82E16819118472,Intel,,Efficient-core (E-core),Performance Hybrid Architecture1,LGA 1700,14-Core (6P+8E),Performance-core Base Frequency: 3.5 GHzEfficient-core Base Frequency: 2.6 GHz,,P-core Max Turbo Frequency: Up to 5.3 GHzE-core Max Turbo Frequency: Up to 4.0 GHz,Intel Core i5-14600KF - Core i5 14th Gen 14-Core (6P+8E) LGA 1700 125W None Integrated Graphics Desktop Processor - Boxed - BX8071514600KF,Performance-core (P-core),20-Threads
,"(4,103)",£370.79 –,Model #: 100-100000059WOF,https://www.newegg.com/global/uk-en/amd-ryzen-9-5950x/p/N82E16819113663,AMD,,Ryzen 9 5000 Series,Ryzen 9 5950X,Socket AM4,16-Core,3.4 GHz,,4.9 GHz,AMD Ryzen 9 5950X - Ryzen 9 5000 Series Vermeer (Zen 3) 16-Core 3.4 GHz Socket AM4 105W None Integrated Graphics Desktop Processor - 100-100000059WOF,Desktop,32-Threads
,(31),£521.99 –,Model #: BX8071514900KF,https://www.newegg.com/global/uk-en/intel-core-i9-14900k-core-i9-14th-gen/p/N82E16819118464,Intel,,Efficient-core (E-core),Performance Hybrid Architecture1,LGA 1700,24-Core (8P+16E),Performance-core Base Frequency: 3.2 GHzEfficient-core Base Frequency: 2.4 GHz,,Intel Thermal Velocity Boost Frequency: Up to 6.0 GHzIntel Turbo Boost Max Technology 3.0 Frequency: Up to 5.8 GHzP-core Max Turbo Frequency: Up to 5.6 GHzE-core Max Turbo Frequency: Up to 4.4 GHz,Intel Core i9-14900KF - Core i9 14th Gen 24-Core (8P+16E) LGA 1700 125W None Integrated Graphics Processor - Boxed - BX8071514900KF,Performance-core (P-core),32-Threads
,(123),£190.79 –,Model #: BX8071513400F,https://www.newegg.com/global/uk-en/intel-core-i5-13400f-core-i5-13th-gen/p/N82E16819118431,,,Core i5 13th Gen,Core i5-13400F,LGA 1700,10-Core (6P+4E),P-core Base Frequency: 2.5 GHzE-core Base Frequency: 1.8 GHz,,P-core Max Turbo Frequency: Up to 4.6 GHzE-core Max Turbo Frequency: Up to 3.3 GHz,"Intel Core i5-13400F Desktop Processor 10 cores (6 P-cores + 4 E-cores) 20MB Cache, up to 4.6 GHz - Box",Desktop,16-Threads
,(23),£118.79 –,Model #: 100-100001489BOX,https://www.newegg.com/global/uk-en/amd-ryzen-5-5500gt-ryzen-5-5000-series/p/N82E16819113817,AMD,,Ryzen 5 5000 Series,Ryzen 5 5500GT,Socket AM4,6-Core,3.6 GHz,,4.4 GHz,AMD Ryzen 5 5500GT - Ryzen 5 5000 Series 6-Core 3.6 GHz Socket AM4 65W AMD Radeon Graphics Processor - 100-100001489BOX,Desktop,12-Threads
,(18),£124.79 –,Model #: BX8071514100F,https://www.newegg.com/global/uk-en/intel-core-i3-14100f-core-i3-14th-gen/p/N82E16819118492,Intel,,Picture-perfect video chatting,Juggling programs with ease,LGA 1700,4-Core (4P+0E),Performance-core Base Frequency: 3.5 GHz,,Max Turbo Frequency: 4.7 GHzPerformance-core Max Turbo Frequency: 4.7 GHz,Intel Core i3-14100F - Core i3 14th Gen Raptor Lake 4-Core (4P+0E) LGA 1700 58W None Integrated Graphics Processor - BX8071514100F,Streaming your favorite content,8-Threads
,(334),£149.99 –,Model #: 100-100000927BOX,https://www.newegg.com/global/uk-en/amd-ryzen-5-5600-ryzen-5-5000-series/p/N82E16819113736,AMD,,Ryzen 5 5000 Series,Ryzen 5 5600,Socket AM4,6-Core,3.5 GHz,,4.4 GHz,AMD Ryzen 5 5600 - Ryzen 5 5000 Series Vermeer (Zen 3) 6-Core 3.5 GHz Socket AM4 65W None Integrated Graphics Desktop Processor - 100-100000927BOX,Desktop,12-Threads
,(21),£676.79 –,Model #: BX8071514900KS,https://www.newegg.com/global/uk-en/intel-core-i9-14900ks-core-i9-14th-gen/p/N82E16819118496,Intel,,Core i9 14th Gen,Core i9-14900KS,LGA 1700,24-Core (8P+16E),Performance-core Base Frequency: 3.2 GHzEfficient-core Base Frequency: 2.4 GHz,,Intel Thermal Velocity Boost Frequency: Up to 6.2 GHzIntel Turbo Boost Max Technology 3.0 Frequency: Up to 5.9 GHzP-core Max Turbo Frequency: Up to 5.7 GHzE-core Max Turbo Frequency: Up to 4.5 GHz,Intel Core i9-14900KS - Core i9 14th Gen Raptor Lake 24-Core (8P+16E) Performance-core Base Frequency: 3.2 GHz Efficient-core Base Frequency: 2.4 GHz LGA 1700 150W Intel UHD Graphics 770 Desktop Proce,Desktop,32-Threads
,(18),£245.99 –,Model #: BX8071514500,https://www.newegg.com/global/uk-en/intel-core-i5-14500-core-i5-14th-gen/p/N82E16819118478,Intel,,Picture-perfect video chatting,Juggling programs with ease,LGA 1700,14-Core (6P+8E),Performance-core Base Frequency: 2.6 GHzEfficient-core Base Frequency: 1.9 GHz,,P-core Max Turbo Frequency: Up to 5.0 GHzE-core Max Turbo Frequency: Up to 3.7 GHz,Intel Core i5-14500 - Core i5 14th Gen Raptor Lake 14-Core (6P+8E) LGA 1700 65W Intel UHD Graphics 770 Processor - BX8071514500,Streaming your favorite content,20-Threads
