CPU/Processor,Ratings,Price,Model No,Link,Brand,Desktop_Type,Processor_Series,Processor_Model,Socket,Cores,Operating_Frequency,Threads,Max Turbo Frequency,Cpu/Processor,Processor_Type,no_of_tread
,(123),£250.79 –,Model #: BX8071513500,https://www.newegg.com/global/uk-en/intel-core-i5-13500-core-i5-13th-gen/p/N82E16819118429,Intel,,Motherboard compatibility:,Total CPU PCIe lanes:,LGA 1700,14-Core (6P+8E),P-core Base Frequency: 2.5 GHzE-core Base Frequency: 1.8 GHz,,P-core Max Turbo Frequency: Up to 4.8 GHzE-core Max Turbo Frequency: Up to 3.5 GHz,"Intel Core i5-13500 Desktop Processor 14 cores (6 P-cores + 8 E-cores) 24MB Cache, up to 4.8 GHz - Box",Intel Smart Cache:,20-Threads
,(880),£497.99 –,Model #: BX8071513900KF,https://www.newegg.com/global/uk-en/intel-core-i9-13900k-core-i9-13th-gen/p/N82E16819118413,Intel,,Core i9 13th Gen,Core i9-13900KF,LGA 1700,24-Core (8P+16E),P-core Base Frequency: 3.0 GHzE-core Base Frequency: 2.2 GHz,,Intel Turbo Boost Max Technology 3.0 Frequency: Up to 5.7 GHzSingle P-core Turbo Frequency: Up to 5.4 GHzSingle E-core Turbo Frequency: Up to 4.3 GHz,Intel Core i9-13900KF - Core i9 13th Gen Raptor Lake 24-Core (8P+16E) P-core Base Frequency: 3.0 GHz E-core Base Frequency: 2.2 GHz LGA 1700 125W None Integrated Graphics Desktop Processor - BX8071513,Desktop,32-Threads
,(18),£238.79 –,Model #: BX8071514400,https://www.newegg.com/global/uk-en/intel-core-i5-14400-core-i5-14th-gen/p/N82E16819118480,Intel,,Picture-perfect video chatting,Juggling programs with ease,LGA 1700,10-Core (6P+4E),Performance-core Base Frequency: 2.5 GHzEfficient-core Base Frequency: 1.8 GHz,,Max Turbo Frequency: 4.7 GHzPerformance-core Max Turbo Frequency: 4.7 GHzEfficient-core Max Turbo Frequency: 3.5 GHz,Intel Core i5-14400 - Core i5 14th Gen Raptor Lake 10-Core (6P+4E) LGA 1700 65W Intel UHD Graphics 730 Processor - BX8071514400,Streaming your favorite content,16-Threads
,(123),£593.99 –,Model #: BX8071513900,https://www.newegg.com/global/uk-en/intel-core-i9-13900-core-i9-13th-gen/p/N82E16819118425,,,Core i9 13th Gen,Core i9-13900,LGA 1700,24-Core (8P+16E),P-core Base Frequency: 2.0 GHzE-core Base Frequency: 1.5 GHz,,Intel Turbo Boost Max Technology 3.0 Frequency: Up to 5.5 GHzP-core Max Turbo Frequency: Up to 5.2 GHzE-core Max Turbo Frequency: Up to 4.2 GHz,"Intel Core i9-13900 Desktop Processor - 24 cores (8 P-cores + 16 E-cores) - 36MB Cache, up to 5.6 GHz - Box",Desktop,32-Threads
,(21),£71.99 –,Model #: 100-100000510BOX,https://www.newegg.com/global/uk-en/amd-ryzen-3-4100-ryzen-3-4000-series/p/N82E16819113739,AMD,,Ryzen 3 4000 Series,Ryzen 3 4100,Socket AM4,Quad-Core,3.8 GHz,,4.0 GHz,AMD Ryzen 3 4100 - Ryzen 3 4000 Series Quad-Core 3.8 GHz Socket AM4 65W None Integrated Graphics Desktop Processor - 100-100000510BOX,Desktop,8-Threads
,(123),£151.19 –,Model #: BX8071513100,https://www.newegg.com/global/uk-en/intel-core-i3-13100-core-i3-13th-gen/p/N82E16819118432,,,Core i3 13th Gen,Core i3-13100,LGA 1700,Quad-Core,P-core Base Frequency: 3.4 GHz,,P-core Max Turbo Frequency: 4.5 GHz,"Intel Core i3-13100 Desktop Processor 4 cores (4 P-cores + 0 E-cores) 12MB Cache, up to 4.5 GHz - Box",Desktop,8-Threads
,(123),£112.79 –,Model #: BX8071513100F,https://www.newegg.com/global/uk-en/intel-core-i3-13100f-core-i3-13th-gen/p/N82E16819118433,,,Core i3 13th Gen,Core i3-13100F,LGA 1700,Quad-Core,P-core Base Frequency: 3.4 GHz,,P-core Max Turbo Frequency: 4.5 GHz,"Intel Core i3-13100F Desktop Processor 4 cores (4 P-cores + 0 E-cores) 12MB Cache, up to 4.5 GHz - Box",Desktop,8-Threads
,(3),"£1,293.59 –",Model #: 100-100000447WOF,https://www.newegg.com/global/uk-en/amd-ryzen-threadripper-pro-5955wx/p/N82E16819113776,,,Ryzen Threadripper PRO,Ryzen Threadripper PRO 5955WX,Socket sWRX8,16-Core,4.0 GHz,,Up to 4.5GHz,AMD Ryzen Threadripper PRO 5955WX - Chagall PRO (Zen 3) 16-Core 4.0 GHz Socket sWRX8 280W Desktop Processor - 100-100000447WOF,Desktop,32-Threads
,,£274.79 –,Model #: 100-100001590BOX,https://www.newegg.com/global/uk-en/p/N82E16819113825,AMD,,Total Cache,Architecture,Socket AM5,8-Core,Up to 5.1GHz,,4.1 GHz,"AMD Ryzen 7 8700F (4.1 Ghz) - Ryzen 7 8000 Series 8-Core/ 16-Threads, Socket AM5, 65W Processor - 100-100001590BOX",Cores / Threads,16-Threads
,,£292.79 –,Model #: 100-100000252MPK,https://www.newegg.com/global/uk-en/amd-ryzen-5-5600g-ryzen-5-5000-g-series/p/N82E16819113686,AMD,,Ryzen 5 5000 G-Series,Ryzen 5 5600G,Socket AM4,6-Core,3.9 GHz,,4.4 GHz,AMD Ryzen 5 5600G - Ryzen 5 5000 G-Series Cezanne (Zen 3) 6-Core 3.9 GHz Socket AM4 65W AMD Radeon Graphics Desktop Processor - 100-100000252MPK - OEM,Desktop,12-Threads
,(3),"£2,120.39 –",Model #: 100-100000446WOF,https://www.newegg.com/global/uk-en/amd-ryzen-threadripper-pro-5965wx/p/N82E16819113765,,,Ryzen Threadripper PRO,Ryzen Threadripper PRO 5965WX,Socket sWRX8,24-Core,3.8 GHz,,4.5 GHz,AMD Ryzen Threadripper PRO 5965WX - Ryzen Threadripper PRO Chagall PRO (Zen 3) 24-Core 3.8 GHz Socket sWRX8 280W None Integrated Graphics Desktop Processor - 100-100000446WOF,Desktop,48-Threads
,(478),£273.59 –,Model #: BX8071512700K,https://www.newegg.com/global/uk-en/intel-core-i7-12700k-core-i7-12th-gen/p/N82E16819118343,Intel,,Core i7 12th Gen,Core i7-12700K,LGA 1700,12-Core (8P+4E),P-core Base Frequency: 3.6 GHzE-core Base Frequency: 2.7 GHz,,Intel Turbo Boost Max Technology 3.0 Frequency: Up to 5.0 GHzSingle P-core Turbo Frequency: Up to 4.9 GHzSingle E-core Turbo Frequency: Up to 3.8 GHz,Intel Core i7-12700K - Core i7 12th Gen Alder Lake 12-Core (8P+4E) 3.6 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071512700K,Desktop,20-Threads
,(553),£425.99 –,Model #: 100-100000909WOF,https://www.newegg.com/global/uk-en/amd-ryzen-9-7900x3d-ryzen-9-7000-series/p/N82E16819113792,AMD,,Ryzen 9 7000 Series,Ryzen 9 7900X3D,Socket AM5,12-Core,4.4 GHz,,Up to 5.6 GHz,AMD Ryzen 9 7900X3D - Ryzen 9 7000 Series 12-Core 4.4 GHz Socket AM5 120W AMD Radeon Graphics Desktop Processor - 100-100000909WOF,Desktop,24-Threads
,(13),£338.39 –,Model #: 100-100001236BOX,https://www.newegg.com/global/uk-en/amd-ryzen-7-8700g-ryzen-7-7000-series/p/N82E16819113811,AMD,,Ryzen 7 8000-G Series,Ryzen 7 8700G,Socket AM5,8-Core,4.2 GHz,,5.1 GHz,AMD Ryzen 7 8700G - Ryzen 7 8000-G Series 8-Core 4.2 GHz Socket AM5 65W AMD Radeon 780M Processor - 100-100001236BOX,Desktop,16-Threads
,(13),£235.19 –,Model #: 100-100001237BOX,https://www.newegg.com/global/uk-en/amd-ryzen-5-8600g-ryzen-5-8000-series/p/N82E16819113814,AMD,,Ryzen 5 8000-G Series,Ryzen 5 8600G,Socket AM5,6-Core,4.3 GHz,,5.0 GHz,AMD Ryzen 5 8600G - Ryzen 5 8000-G Series 6-Core 4.3 GHz Socket AM5 65W AMD Radeon 760M Processor - 100-100001237BOX,Desktop,12-Threads
,,£175.19 –,Model #: 100-100001591BOX,https://www.newegg.com/global/uk-en/p/N82E16819113826,AMD,,Total Cache,Architecture,Socket AM5,6-Core,Up to 4.7GHz,,4.2 GHz,"AMD Ryzen 5 8400F (4.2 GHz) - Ryzen 5 8000 Series 6-Core/ 12-Threads,  Socket AM5, 65W Processor - 100-100001591BOX",Cores / Threads,12-Threads
,(18),£412.79 –,Model #: BX8071514700,https://www.newegg.com/global/uk-en/intel-core-i7-14700-core-i7-14th-gen/p/N82E16819118476,Intel,,Picture-perfect video chatting,Juggling programs with ease,LGA 1700,20-Core (8P+12E),Performance-core Base Frequency: 2.1 GHzEfficient-core Base Frequency: 1.5 GHz,,Max Turbo Frequency: 5.4 GHzIntel Turbo Boost Max Technology 3.0 Frequency: 5.4 GHzPerformance-core Max Turbo Frequency: 5.3 GHzEfficient-core Max Turbo Frequency: 4.2 GHz,Intel Core i7-14700 - Core i7 14th Gen Raptor Lake 20-Core (8P+12E) LGA 1700 65W Intel UHD Graphics 770 Processor - BX8071514700,Streaming your favorite content,28-Threads
,(31),£479.99 –,Model #: BX8071512900KS,https://www.newegg.com/global/uk-en/intel-core-i9-12900ks-core-i9-12th-gen/p/N82E16819118392,Intel,,Core i9 12th Gen,Core i9-12900KS,LGA 1700,16-Core (8P+8E),P-core Base Frequency: 3.4 GHzE-core Base Frequency: 2.5 GHz,,Intel Thermal Velocity Boost Max Frequency: 5.5 GHzIntel Turbo Boost Max Technology 3.0 Frequency: 5.3 GHzPerformance-core Max Turbo Frequency: 5.2 GHzEfficient-core Max Turbo Frequency: 4 GHz,Intel Core i9-12900KS - Core i9 12th Gen Alder Lake 16-Core (8P+8E) 3.4 GHz LGA 1700 150W Intel UHD Graphics 770 Desktop Processor - BX8071512900KS,Desktop,24-Threads
