CPU/Processor,Ratings,Price,Model No,Link
AMD Ryzen 7 5700X3D - Ryzen 7 5000 Series 8-Core 3.0 GHz Socket AM4 105W None Integrated Graphics Processor - 100-100001503WOF,(20),237,Model #: 100-100001503WOF,https://www.newegg.com/global/uk-en/amd-ryzen-7-5700x3d-ryzen-7-5000-series/p/N82E16819113812
Intel Core i9-12900KF - Core i9 12th Gen Alder Lake 16-Core (8P+8E) 3.2 GHz LGA 1700 125W Desktop Processor - BX8071512900KF,(40),353,Model #: BX8071512900KF,https://www.newegg.com/global/uk-en/intel-core-i9-12900kf-core-i9-12th-gen/p/N82E16819118341
Intel Core i5-12600KF - Core i5 12th Gen Alder Lake 10-Core (6P+4E) 3.7 GHz LGA 1700 125W Desktop Processor - BX8071512600KF,(97),164,Model #: BX8071512600KF,https://www.newegg.com/global/uk-en/intel-core-i5-12600kf-core-i5-12th-gen/p/N82E16819118349
AMD Ryzen 5 4500 - Ryzen 5 4000 Series 6-Core 3.6 GHz Socket AM4 65W None Integrated Graphics Desktop Processor - 100-100000644BOX,(80),82,Model #: 100-100000644BOX,https://www.newegg.com/global/uk-en/amd-ryzen-5-4500-ryzen-5-4000/p/N82E16819113738
AMD Ryzen 7 8700G - Ryzen 7 8000-G Series 8-Core 4.2 GHz Socket AM5 65W AMD Radeon 780M Processor - 100-100001236BOX,(13),338,Model #: 100-100001236BOX,https://www.newegg.com/global/uk-en/amd-ryzen-7-8700g-ryzen-7-7000-series/p/N82E16819113811
AMD Ryzen 9 7950X - 16-Core 4.5 GHz - Socket AM5 - 170W Desktop Processor (100-100000514WOF),(638),565,Model #: 100-100000514WOF,https://www.newegg.com/global/uk-en/amd-ryzen-9-7950x-ryzen-9-7000-series/p/N82E16819113771
Intel Core i3-12100F - Core i3 12th Gen Alder Lake Quad-Core 3.3 GHz LGA 1700 58W Desktop Processor - BX8071512100F,(160),99,Model #: BX8071512100F,https://www.newegg.com/global/uk-en/intel-core-i3-12100f-core-i3-12th-gen/p/N82E16819118357
AMD Ryzen 7 5700X - Ryzen 7 5000 Series 8-Core 3.4 GHz Socket AM4 65W None Integrated Graphics Desktop Processor - 100-100000926WOF,(333),183,Model #: 100-100000926WOF,https://www.newegg.com/global/uk-en/amd-ryzen-7-5700x-ryzen-7-5000-series/p/N82E16819113735
Intel Core i7-13700K - Core i7 13th Gen Raptor Lake 16-Core (8P+8E) P-core Base Frequency: 3.4 GHz E-core Base Frequency: 2.5 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071513700K,(874),370,Model #: BX8071513700K,https://www.newegg.com/global/uk-en/intel-core-i7-13700k-core-i7-13th-gen/p/N82E16819118414
Intel Core i5-14400F - Core i5 14th Gen Raptor Lake 10-Core (6P+4E) LGA 1700 65W None Integrated Graphics Processor - BX8071514400F,(18),207,Model #: BX8071514400F,https://www.newegg.com/global/uk-en/intel-core-i5-14400f-core-i5-14th-gen/p/N82E16819118489
Intel Core i5-12600K - Core i5 12th Gen Alder Lake 10-Core (6P+4E) 3.7 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071512600K,(324),189,Model #: BX8071512600K,https://www.newegg.com/global/uk-en/intel-core-i5-12600k-core-i5-12th-gen/p/N82E16819118347
AMD Ryzen 5 8600G - Ryzen 5 8000-G Series 6-Core 4.3 GHz Socket AM5 65W AMD Radeon 760M Processor - 100-100001237BOX,(13),235,Model #: 100-100001237BOX,https://www.newegg.com/global/uk-en/amd-ryzen-5-8600g-ryzen-5-8000-series/p/N82E16819113814
AMD Ryzen Threadripper PRO 5975WX - Ryzen Threadripper PRO Chagall PRO (Zen 3) 32-Core 3.6 GHz Socket sWRX8 280W None Integrated Graphics Desktop Processor - 100-100000445WOF,(3),"2,877",Model #: 100-100000445WOF,https://www.newegg.com/global/uk-en/amd-ryzen-threadripper-pro-5975wx/p/N82E16819113764
AMD Ryzen 7 7700 - Ryzen 7 7000 Series 8-Core 3.8 GHz Socket AM5 65W AMD Radeon Graphics Processor - 100-100000592BOX,(21),291,Model #: 100-100000592BOX,https://www.newegg.com/global/uk-en/amd-ryzen-7-7700/p/N82E16819113786
Intel Core i5-14600KF - Core i5 14th Gen 14-Core (6P+8E) LGA 1700 125W None Integrated Graphics Desktop Processor - Boxed - BX8071514600KF,(2),303,Model #: BX8071514600KF,https://www.newegg.com/global/uk-en/intel-core-i5-14600kf-core-i5-14th-gen/p/N82E16819118472
Intel Core i5-14600K - Core i5 14th Gen 14-Core (6P+8E) LGA 1700 125W Intel UHD Graphics 770 Processor - Boxed - BX8071514600K,(14),316,Model #: BX8071514600K,https://www.newegg.com/global/uk-en/intel-core-i5-14600k-core-i5-14th-gen/p/N82E16819118470
"Intel Core i5-13400F Desktop Processor 10 cores (6 P-cores + 4 E-cores) 20MB Cache, up to 4.6 GHz - Box",(123),191,Model #: BX8071513400F,https://www.newegg.com/global/uk-en/intel-core-i5-13400f-core-i5-13th-gen/p/N82E16819118431
AMD Ryzen 7 5700G - Ryzen 7 5000 G-Series Cezanne (Zen 3) 8-Core 3.8 GHz Socket AM4 65W AMD Radeon Graphics Desktop Processor - 100-100000263BOX,(301),185,Model #: 100-100000263BOX,https://www.newegg.com/global/uk-en/amd-ryzen-7-5700g-ryzen-7-5000-g-series/p/N82E16819113682
Intel Core i9-12900KS - Core i9 12th Gen Alder Lake 16-Core (8P+8E) 3.4 GHz LGA 1700 150W Intel UHD Graphics 770 Desktop Processor - BX8071512900KS,(31),484,Model #: BX8071512900KS,https://www.newegg.com/global/uk-en/intel-core-i9-12900ks-core-i9-12th-gen/p/N82E16819118392
Intel Core i7-14700 - Core i7 14th Gen Raptor Lake 20-Core (8P+12E) LGA 1700 65W Intel UHD Graphics 770 Processor - BX8071514700,(18),412,Model #: BX8071514700,https://www.newegg.com/global/uk-en/intel-core-i7-14700-core-i7-14th-gen/p/N82E16819118476
Intel Core i5-14500 - Core i5 14th Gen Raptor Lake 14-Core (6P+8E) LGA 1700 65W Intel UHD Graphics 770 Processor - BX8071514500,(18),247,Model #: BX8071514500,https://www.newegg.com/global/uk-en/intel-core-i5-14500-core-i5-14th-gen/p/N82E16819118478
AMD Ryzen 5 5500GT - Ryzen 5 5000 Series 6-Core 3.6 GHz Socket AM4 65W AMD Radeon Graphics Processor - 100-100001489BOX,(20),122,Model #: 100-100001489BOX,https://www.newegg.com/global/uk-en/amd-ryzen-5-5500gt-ryzen-5-5000-series/p/N82E16819113817
AMD Ryzen Threadripper 7970X 350W SP6 - 32-Core/64-Threads (100-100001351WOF),(2),"2,509",Model #: 100-100001351WOF,https://www.newegg.com/global/uk-en/amd-threadripper-pro-7965wx-350w-sp6-ryzen-threadripper-7000-series/p/N82E16819113806
Intel Core i3-14100F - Core i3 14th Gen Raptor Lake 4-Core (4P+0E) LGA 1700 58W None Integrated Graphics Processor - BX8071514100F,(18),124,Model #: BX8071514100F,https://www.newegg.com/global/uk-en/intel-core-i3-14100f-core-i3-14th-gen/p/N82E16819118492
Intel Processor 300 - Intel Processor 300 Series Raptor Lake 2-Core (2P+0E) 3.9 GHz LGA 1700 46W Intel UHD Graphics 710 Processor - BX80715300,No ratings,94,Model #: BX80715300,https://www.newegg.com/global/uk-en/intel-processor-300/p/N82E16819118494
Intel Core i5-12400 - Core i5 12th Gen Alder Lake 6-Core 2.5 GHz LGA 1700 65W Intel UHD Graphics 730 Desktop Processor - BX8071512400,(97),167,Model #: BX8071512400,https://www.newegg.com/global/uk-en/intel-core-i5-12400f-core-i5-12th-gen/p/N82E16819118358
Intel Core i7-14700F - Core i7 14th Gen Raptor Lake 20-Core (8P+12E) LGA 1700 65W None Integrated Graphics Processor - BX8071514700F,(18),382,Model #: BX8071514700F,https://www.newegg.com/global/uk-en/intel-core-i7-14700f-core-i7-14th-gen/p/N82E16819118487
AMD Ryzen 9 7900 - Ryzen 9 7000 Series 12-Core 3.7 GHz Socket AM5 65W AMD Radeon Graphics Processor - 100-100000590BOX,(34),382,Model #: 100-100000590BOX,https://www.newegg.com/global/uk-en/amd-ryzen-9-7900/p/N82E16819113785
Intel Core i3-14100 - Core i3 14th Gen Raptor Lake 4-Core (4P+0E) LGA 1700 60W Intel UHD Graphics 730 Processor - BX8071514100,(18),154,Model #: BX8071514100,https://www.newegg.com/global/uk-en/intel-core-i3-14100-core-i3-14th-gen/p/N82E16819118483
Intel Core i9-14900 - Core i9 14th Gen Raptor Lake 24-Core (8P+16E) LGA 1700 65W Intel UHD Graphics 770 Processor - BX8071514900,(18),581,Model #: BX8071514900,https://www.newegg.com/global/uk-en/intel-core-i9-14900kf-core-i9-14th-gen/p/N82E16819118474
Intel Core i9-14900F - Core i9 14th Gen Raptor Lake 24-Core (8P+16E) LGA 1700 65W None Integrated Graphics Processor - BX8071514900F,(18),545,Model #: BX8071514900F,https://www.newegg.com/global/uk-en/intel-core-i9-14900f-core-i9-14th-gen/p/N82E16819118485
AMD Ryzen Threadripper 7980X 350W SP6 - 64-Core/128-Threads (100-100001350WOF),(2),"5,116",Model #: 100-100001350WOF,https://www.newegg.com/global/uk-en/amd-threadripper-7980x-350w-sp6-ryzen-threadripper-7000-series/p/N82E16819113808
AMD Ryzen Threadripper PRO 5995WX - Ryzen Threadripper PRO Chagall PRO (Zen 3) 64-Core 2.7 GHz Socket sWRX8 280W None Integrated Graphics Desktop Processor - 100-100000444WOF,(3),"5,584",Model #: 100-100000444WOF,https://www.newegg.com/global/uk-en/amd-ryzen-threadripper-pro-5995wx/p/N82E16819113763
AMD Ryzen Threadripper PRO 7985WX 350W SP6 - 64-Core/128-Threads (100-100000454WOF),No ratings,"7,635",Model #: 100-100000454WOF,https://www.newegg.com/global/uk-en/amd-threadripper-pro-7985wx-350w-sp6-ryzen-threadripper-7000-series/p/N82E16819113809
Intel Core i5-10500 - Core i5 10th Gen Comet Lake 6-Core 3.1 GHz LGA 1200 65W Intel UHD Graphics 630 Desktop Processor - BX8070110500,(578),247,Model #: BX8070110500,https://www.newegg.com/global/uk-en/intel-core-i5-10500-core-i5-10th-gen/p/N82E16819118134
Intel Core i3-12100 - Core i3 12th Gen Alder Lake Quad-Core 3.3 GHz LGA 1700 Processor 60W Intel UHD Graphics 730 Desktop Processor - BX8071512100,(58),125,Model #: BX8071512100,https://www.newegg.com/global/uk-en/intel-core-i3-12100-core-i3-12th-gen/p/N82E16819118370
"Intel Core i5-13400 Desktop Processor 10 cores (6 P-cores + 4 E-cores) 20MB Cache, up to 4.6 GHz - Box",(123),236,Model #: BX8071513400,https://www.newegg.com/global/uk-en/intel-core-i5-13400-core-i5-13th-gen/p/N82E16819118430
AMD Ryzen 5 8500G - Ryzen 5 8000-G Series 6-Core 3.5 GHz Socket AM5 65W AMD Radeon 740M Processor - 100-100000931BOX,(13),185,Model #: 100-100000931BOX,https://www.newegg.com/global/uk-en/amd-ryzen-5-8500g-ryzen-5-8000-series/p/N82E16819113815
Intel Core i7-12700 - Core i7 12th Gen Alder Lake 12-Core (8P+4E) 2.1 GHz LGA 1700 65W Intel UHD Graphics 770 Desktop Processor - BX8071512700,(13),275,Model #: BX8071512700,https://www.newegg.com/global/uk-en/intel-core-i7-12700-core-i7-12th-gen/p/N82E16819118368
AMD Ryzen 7 5700 - Ryzen 7 5000 Series 8-Core 3.7 GHz Socket AM4 65W None Integrated Graphics Processor - 100-100000743BOX,(20),182,Model #: 100-100000743BOX,https://www.newegg.com/global/uk-en/amd-ryzen-7-5700-ryzen-7-5000-series/p/N82E16819113813
"Intel Core i5-13500 Desktop Processor 14 cores (6 P-cores + 8 E-cores) 24MB Cache, up to 4.8 GHz - Box",(123),253,Model #: BX8071513500,https://www.newegg.com/global/uk-en/intel-core-i5-13500-core-i5-13th-gen/p/N82E16819118429
"Intel Core i3-13100 Desktop Processor 4 cores (4 P-cores + 0 E-cores) 12MB Cache, up to 4.5 GHz - Box",(123),152,Model #: BX8071513100,https://www.newegg.com/global/uk-en/intel-core-i3-13100-core-i3-13th-gen/p/N82E16819118432
"Intel Core i9-13900 Desktop Processor - 24 cores (8 P-cores + 16 E-cores) - 36MB Cache, up to 5.6 GHz - Box",(123),541,Model #: BX8071513900,https://www.newegg.com/global/uk-en/intel-core-i9-13900-core-i9-13th-gen/p/N82E16819118425
Intel Core i5-14400 - Core i5 14th Gen Raptor Lake 10-Core (6P+4E) LGA 1700 65W Intel UHD Graphics 730 Processor - BX8071514400,(18),238,Model #: BX8071514400,https://www.newegg.com/global/uk-en/intel-core-i5-14400-core-i5-14th-gen/p/N82E16819118480
Intel Core i9-12900K - Core i9 12th Gen Alder Lake 16-Core (8P+8E) 3.2 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071512900K,(354),386,Model #: BX8071512900K,https://www.newegg.com/global/uk-en/intel-core-i9-12900k-core-i9-12th-gen/p/N82E16819118339
